Ticker symbol,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,47111
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",,86312
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment & Services,"Waltham, Massachusetts",,97745
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,98246
TWX,Time Warner Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",,1105705
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/85,109198
TMK,Torchmark Corp.,Financials,Life & Health Insurance,"McKinney, Texas",4/30/89,320335
TSS,Total System Services,Information Technology,Internet Software & Services,"Columbus, Georgia",1/2/08,721683
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail,"Brentwood, Tennessee",1/24/14,916365
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/16,1260221
RIG,Transocean,Energy,Oil & Gas Drilling,"Vernier, Switzerland",10/29/13,1451505
TRIP,TripAdvisor,Consumer Discretionary,Internet Retail,"Newton, Massachusetts",12/21/11,1526520
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing,"New York, New York",7/1/13,1308161
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing,"New York, New York",7/1/13,1308161
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493
TYC,Tyco International,Industrials,Industrial Conglomerates,"Schaffhausen, Switzerland",8/27/10,833444
UDR,UDR Inc,Financials,Residential REITs,"Highlands Ranch, Colorado",3/7/16,74208
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/16,1403568
USB,U.S. Bancorp,Financials,Banks,"Minneapolis, Minnesota",,36104
UA,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",5/1/14,1336917
UA-C,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",3/25/16,1336917
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",,100885
UAL,United Continental Holdings,Industrials,Airlines,"Chicago, Illinois",9/3/15,100517
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/94,731766
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",,1090727
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/14,1067701
UTX,United Technologies,Industrials,Industrial Conglomerates,"Hartford, Connecticut",,101829
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/14,352915
UNM,Unum Group,Financials,Diversified Financial Services,"Chattanooga, Tennessee",3/1/94,5513
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania",2/8/10,912615
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",6/30/79,103379
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",,1035002
VAR,Varian Medical Systems,Health Care,Health Care Equipment & Services,"Palo Alto, California",2/12/07,203527
VTR,Ventas Inc,Financials,Diversified Financial Services,"Chicago, Illinois",3/4/09,740260
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,"Dulles, Virginia",,1014473
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/15,1442145
VZ,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services,"New York, New York",11/30/83,732712
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",9/23/13,875320
VIAB,Viacom Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",,1339947
V,Visa Inc.,Information Technology,Internet Software & Services,"San Francisco, California",12/21/09,1403161
VNO,Vornado Realty Trust,Financials,REITs,"New York, New York",,899689
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",,1396009
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",8/31/82,104169
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/79,1618921
DIS,The Walt Disney Company,Consumer Discretionary,Broadcasting & Cable TV,"Burbank, California",6/30/76,1001039
WM,Waste Management Inc.,Industrials,Environmental Services,"Houston, Texas",,823768
WAT,Waters Corporation,Health Care,Health Care Distributors & Services,"Milford, Massachusetts",,1000697
ANTM,Anthem Inc.,Health Care,Managed Health Care,"Indianapolis, Indiana",,1156039
WFC,Wells Fargo,Financials,Banks,"San Francisco, California",6/30/76,72971
HCN,Welltower Inc.,Financials,REITs,"Toledo, Ohio",1/30/09,766704
WDC,Western Digital,Information Technology,Computer Storage & Peripherals,"Irvine, California",7/1/09,106040
WU,Western Union Co,Information Technology,Internet Software & Services,"Englewood, Colorado",,1365135
WY,Weyerhaeuser Corp.,Financials,REITs,"Federal Way, Washington",,106535
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640
WFM,Whole Foods Market,Consumer Staples,Food Retail,"Austin, Texas",,865436
WMB,Williams Cos.,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",3/31/75,107263
WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",1/5/16,1140536
WEC,Wisconsin Energy Corporation,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/08,783325
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",,1361658
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",11/14/08,1174922
XEL,Xcel Energy Inc,Utilities,MultiUtilities,"Minneapolis, Minnesota",,72903
XRX,Xerox Corp.,Information Technology,IT Consulting & Services,"Norwalk, Connecticut",,108772
XLNX,Xilinx Inc,Information Technology,Semiconductors,"San Jose, California",,743988
XL,XL Capital,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",,875159
XYL,Xylem Inc.,Industrials,Industrial Conglomerates,"White Plains, New York",11/1/11,1524472
YHOO,Yahoo Inc.,Information Technology,Internet Software & Services,"Sunnyvale, California",,1011006
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",,1041061
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment & Services,"Warsaw, Indiana",,1136869
ZION,Zions Bancorp,Financials,Banks,"Salt Lake City, Utah",,109380
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",6/21/13,1555280
